Closure Time,Force,Seed
75.6,0.025,1.0
78.0,0.025,2.0
88.8,0.025,3.0
79.2,0.025,4.0
76.8,0.025,5.0
63.6,0.05,1.0
66.0,0.05,2.0
66.0,0.05,3.0
61.2,0.05,4.0
75.6,0.05,5.0
58.8,0.07500000000000001,1.0
74.4,0.07500000000000001,2.0
66.0,0.07500000000000001,3.0
63.6,0.07500000000000001,4.0
63.6,0.07500000000000001,5.0
50.4,0.1,1.0
73.2,0.1,2.0
55.2,0.1,3.0
63.6,0.1,4.0
50.4,0.1,5.0
51.6,0.125,1.0
49.2,0.125,2.0
62.4,0.125,3.0
67.2,0.125,4.0
52.8,0.125,5.0
43.2,0.15000000000000002,1.0
37.2,0.15000000000000002,2.0
42.0,0.15000000000000002,3.0
57.6,0.15000000000000002,4.0
45.6,0.15000000000000002,5.0
33.6,0.17500000000000002,1.0
32.4,0.17500000000000002,2.0
40.8,0.17500000000000002,3.0
37.2,0.17500000000000002,4.0
34.8,0.17500000000000002,5.0
37.2,0.2,1.0
33.6,0.2,2.0
33.6,0.2,3.0
31.2,0.2,4.0
27.6,0.2,5.0
