Shape distortion,Mode,Seed,Closure Time
0.22,Crawling,1,68.4
0.22,Crawling,2,69.60000000000001
0.22,Crawling,3,72.0
0.22,Crawling,4,54.00000000000001
0.22,Crawling,5,73.2
0.22,Mixed,1,48.00000000000001
0.22,Mixed,2,56.400000000000006
0.22,Mixed,3,50.400000000000006
0.22,Mixed,4,49.2
0.22,Mixed,5,45.6
0.22,Purse-string,1,69.60000000000001
0.22,Purse-string,2,80.4
0.22,Purse-string,3,70.80000000000001
0.22,Purse-string,4,78.0
0.22,Purse-string,5,78.0
0.22,Curvature Sensing,1,39.6
0.22,Curvature Sensing,2,45.6
0.22,Curvature Sensing,3,45.6
0.22,Curvature Sensing,4,40.800000000000004
0.22,Curvature Sensing,5,39.6
0.44,Crawling,1,66.0
0.44,Crawling,2,42.0
0.44,Crawling,3,91.2
0.44,Crawling,4,61.2
0.44,Crawling,5,69.60000000000001
0.44,Mixed,1,42.0
0.44,Mixed,2,42.0
0.44,Mixed,3,51.6
0.44,Mixed,4,43.2
0.44,Mixed,5,38.400000000000006
0.44,Purse-string,1,63.60000000000001
0.44,Purse-string,2,72.0
0.44,Purse-string,3,92.4
0.44,Purse-string,4,76.80000000000001
0.44,Purse-string,5,76.80000000000001
0.44,Curvature Sensing,1,34.800000000000004
0.44,Curvature Sensing,2,42.0
0.44,Curvature Sensing,3,46.800000000000004
0.44,Curvature Sensing,4,40.800000000000004
0.44,Curvature Sensing,5,39.6
0.66,Crawling,1,78.0
0.66,Crawling,2,74.4
0.66,Crawling,3,74.4
0.66,Crawling,4,62.400000000000006
0.66,Crawling,5,90.0
0.66,Mixed,1,49.2
0.66,Mixed,2,44.400000000000006
0.66,Mixed,3,50.400000000000006
0.66,Mixed,4,43.2
0.66,Mixed,5,40.800000000000004
0.66,Purse-string,1,81.60000000000001
0.66,Purse-string,2,73.2
0.66,Purse-string,3,97.2
0.66,Purse-string,4,70.80000000000001
0.66,Purse-string,5,90.0
0.66,Curvature Sensing,1,37.2
0.66,Curvature Sensing,2,39.6
0.66,Curvature Sensing,3,38.400000000000006
0.66,Curvature Sensing,4,38.400000000000006
0.66,Curvature Sensing,5,38.400000000000006
